pair,num_chunks,hl_max,hl_medoid,hl_std
PFC-RECLTD,4,1419.07,463.51,513.83
BDL-MAZDOCK,4,3179.69,1888.76,988.04
GRSE-MAZDOCK,4,1229.94,772.96,367.4
BANKBARODA-CANBK,4,1000.71,566.8,247.03
BPCL-HINDPETRO,4,2017.15,579.4,739.4
PFC-RECLTD,6,727.54,316.81,226.4
BDL-MAZDOCK,6,2505.86,486.5,772.74
GRSE-MAZDOCK,6,2320.58,283.56,764.86
BANKBARODA-CANBK,6,560.5,264.93,137.55
BPCL-HINDPETRO,6,544.36,255.79,164.11
PFC-RECLTD,8,1047.59,117.52,314.72
BDL-MAZDOCK,8,633.79,201.88,162.86
GRSE-MAZDOCK,8,736.04,235.04,180.97
BANKBARODA-CANBK,8,1517.38,297.98,427.63
BPCL-HINDPETRO,8,785.95,207.43,210.22
PFC-RECLTD,10,225.55,157.35,70.57
BDL-MAZDOCK,10,5605.66,306.82,1607.23
GRSE-MAZDOCK,10,567.79,214.16,153.55
BANKBARODA-CANBK,10,922.33,199.31,252.11
BPCL-HINDPETRO,10,567.23,176.7,141.74
