pair,num_chunks,hl_max,hl_medoid,hl_std
PFC-RECLTD,4,1419.07,463.51,513.83
BDL-MAZDOCK,4,3179.69,1888.76,988.04
GRSE-MAZDOCK,4,1229.94,772.96,367.4
BANKBARODA-CANBK,4,1000.71,566.8,247.03
BPCL-HINDPETRO,4,2017.15,579.4,739.4
CANBK-PNB,4,699.15,405.15,191.42
IRFC-RVNL,4,677.27,383.73,142.67
BPCL-IOC,4,980.11,396.47,295.08
INFY-TCS,4,1905.97,387.52,677.58
BANKINDIA-CANBK,4,1097.72,956.96,213.58
BEL-HAL,4,1656.05,669.98,539.19
COCHINSHIP-GRSE,4,704.47,385.7,133.69
BDL-HAL,4,1216.05,744.41,360.31
BANKINDIA-UNIONBANK,4,1746.58,428.27,592.09
HAL-MAZDOCK,4,1694.5,1250.54,239.76
ADANIENT-ADANIGREEN,4,2655.69,297.85,989.35
IREDA-IRFC,4,801.84,585.83,229.78
HINDPETRO-IOC,4,1833.01,841.02,504.39
BANKINDIA-PNB,4,1123.5,499.05,287.77
BANKBARODA-PNB,4,628.8,318.34,147.9
CANBK-UNIONBANK,4,1288.83,1251.65,387.27
BEL-MAZDOCK,4,2608.6,2089.41,683.98
ADANIENSOL-ADANIGREEN,4,1312.34,1121.61,327.65
BANKBARODA-BANKINDIA,4,1228.25,515.05,395.6
BDL-BEL,4,1104.78,805.13,218.4
COCHINSHIP-MAZDOCK,4,1853.67,506.75,606.32
DLF-GODREJPROP,4,1013.88,435.14,255.88
BDL-GRSE,4,4091.27,571.56,1552.45
PNB-UNIONBANK,4,1070.04,954.89,57.38
HINDZINC-VEDL,4,1948.86,1040.98,457.75
NATIONALUM-VEDL,4,2243.43,1326.5,612.86
BANKBARODA-UNIONBANK,4,1208.9,714.55,403.31
IRCON-RVNL,4,1135.25,338.83,335.48
BANKINDIA-INDIANB,4,384.43,373.89,10.98
ADANIENT-ADANIPORTS,4,862.17,496.99,165.08
DATAPATTNS-GRSE,4,30583.02,526.39,12929.34
HCLTECH-TCS,4,1091.52,524.79,285.49
BSE-CDSL,4,6337.21,1913.3,2196.7
IREDA-RVNL,4,1012.26,542.28,270.1
HINDZINC-NATIONALUM,4,4036.37,1330.54,1347.87
GRAPHITE-HEG,4,1063.12,1011.3,199.97
INDIANB-UNIONBANK,4,894.7,565.27,199.89
HINDALCO-NATIONALUM,4,1174.44,711.91,336.59
IRCON-RAILTEL,4,777.69,120.64,270.72
COFORGE-PERSISTENT,4,4755.56,645.79,1819.88
HCLTECH-INFY,4,868.45,517.09,224.18
IRCON-IRFC,4,380.82,291.23,100.47
CHENNPETRO-MRPL,4,1117.21,577.58,315.66
NBCC-RVNL,4,2665.1,1126.64,812.6
JSWSTEEL-TATASTEEL,4,1232.0,989.71,388.12
TCS-WIPRO,4,9635.36,653.98,3855.21
CANBK-INDIANB,4,2055.73,1275.68,616.97
NMDC-TATASTEEL,4,1050.11,864.63,260.38
DLF-PRESTIGE,4,573.32,249.6,141.11
INFY-WIPRO,4,2206.93,825.4,741.52
IREDA-NBCC,4,1540.12,1384.26,441.35
ADANIENSOL-ADANIENT,4,1138.24,589.77,265.1
IREDA-RECLTD,4,814.18,518.71,193.01
JINDALSTEL-TATASTEEL,4,818.77,724.25,82.22
CANBK-SBIN,4,1196.69,1000.51,301.66
IRFC-NBCC,4,13579.76,2623.91,5392.98
BANKBARODA-INDIANB,4,8706.52,370.58,3516.52
HCLTECH-TECHM,4,1639.25,549.87,476.75
DLF-LODHA,4,742.09,633.51,75.53
INDIANB-PNB,4,2510.36,436.22,933.32
GODREJPROP-PRESTIGE,4,1448.22,546.11,435.31
BDL-COCHINSHIP,4,2528.07,2507.1,936.25
BEL-GRSE,4,1871.81,905.84,539.42
DATAPATTNS-MAZDOCK,4,9413.53,421.85,3804.67
TCS-TECHM,4,4530.44,804.73,1660.86
HINDALCO-VEDL,4,1125.45,566.49,284.24
IRCON-JWL,4,1153.47,410.38,362.48
GODREJPROP-LODHA,4,1195.86,389.65,352.38
BANKBARODA-SBIN,4,1354.26,567.3,339.17
HINDALCO-TATASTEEL,4,1881.77,559.87,547.45
INFY-TECHM,4,1362.87,1037.28,434.84
COFORGE-MPHASIS,4,3022.58,577.27,1138.72
ABCAPITAL-LTF,4,732.24,432.96,192.06
GRSE-HAL,4,1462.4,448.19,454.2
NATIONALUM-NMDC,4,2556.59,1387.28,550.59
DLF-OBEROIRLTY,4,2495.68,712.72,845.1
JBCHEPHARM-TORNTPHARM,4,337.63,66.94,111.1
GODREJPROP-OBEROIRLTY,4,1798.72,873.46,444.33
IRFC-RECLTD,4,1414.33,663.45,401.5
RAILTEL-RVNL,4,332.25,259.12,73.53
